,Timestamp,single_best_optimization_score,single_best_test_score,single_best_train_score,task_x,fold_x,framework_x,ensemble_optimization_score,ensemble_test_score,task_y,fold_y,framework_y
69,2021-01-01 20:41:29.000,0.39688541213964945,0.3617424242424243,0.4361177120033275,vehicle,0.0,autosklearn,0.8667887668,0.8110930736,vehicle,0.0,autosklearn
70,2021-01-01 20:41:34.031,0.39688541213964945,0.3617424242424243,0.4361177120033275,vehicle,0.0,autosklearn,0.8511351172,0.7770021645,vehicle,0.0,autosklearn
71,2021-01-01 20:41:36.000,0.37391196374247226,0.3104978354978355,0.33355192735858286,vehicle,0.0,autosklearn,0.8511351172,0.7770021645,vehicle,0.0,autosklearn
72,2021-01-01 20:41:38.000,0.7294126777177624,0.7786255411255412,0.8039950179829712,vehicle,0.0,autosklearn,0.8511351172,0.7770021645,vehicle,0.0,autosklearn
73,2021-01-01 20:41:42.926,0.7294126777177624,0.7786255411255412,0.8039950179829712,vehicle,0.0,autosklearn,0.8554945055,0.7997294372,vehicle,0.0,autosklearn
74,2021-01-01 20:41:45.000,0.40980008691873104,0.5037337662337662,0.4400910158543747,vehicle,0.0,autosklearn,0.8554945055,0.7997294372,vehicle,0.0,autosklearn
75,2021-01-01 20:41:50.000,0.5306926595062188,0.5354978354978355,0.5920794645478568,vehicle,0.0,autosklearn,0.8554945055,0.7997294372,vehicle,0.0,autosklearn
76,2021-01-01 20:41:54.706,0.5306926595062188,0.5354978354978355,0.5920794645478568,vehicle,0.0,autosklearn,0.8554945055,0.7997294372,vehicle,0.0,autosklearn
77,2021-01-01 20:41:56.000,0.3904699819954057,0.3496753246753247,0.40558198461049133,vehicle,0.0,autosklearn,0.8554945055,0.7997294372,vehicle,0.0,autosklearn
78,2021-01-01 20:41:59.000,0.25,0.25,1.0,vehicle,0.0,autosklearn,0.8554945055,0.7997294372,vehicle,0.0,autosklearn
79,2021-01-01 20:42:03.958,0.25,0.25,1.0,vehicle,0.0,autosklearn,0.8515262515,0.7781385281,vehicle,0.0,autosklearn
80,2021-01-01 20:42:06.000,0.7212319695370543,0.7792207792207793,0.805823286724408,vehicle,0.0,autosklearn,0.8515262515,0.7781385281,vehicle,0.0,autosklearn
81,2021-01-01 20:42:10.000,0.7451387595455392,0.7076298701298701,0.9089235907222548,vehicle,0.0,autosklearn,0.8515262515,0.7781385281,vehicle,0.0,autosklearn
82,2021-01-01 20:42:14.663,0.7451387595455392,0.7076298701298701,0.9089235907222548,vehicle,0.0,autosklearn,0.8515262515,0.7781385281,vehicle,0.0,autosklearn
83,2021-01-01 20:42:16.000,0.6386540013658658,0.6843073593073594,0.6887784577461342,vehicle,0.0,autosklearn,0.8515262515,0.7781385281,vehicle,0.0,autosklearn
84,2021-01-01 20:42:19.000,0.4097100639473521,0.38950216450216446,0.4402703868173812,vehicle,0.0,autosklearn,0.8515262515,0.7781385281,vehicle,0.0,autosklearn
85,2021-01-01 20:42:23.424,0.4097100639473521,0.38950216450216446,0.4402703868173812,vehicle,0.0,autosklearn,0.8511351172,0.7895021645,vehicle,0.0,autosklearn
86,2021-01-01 20:42:25.000,0.5648268868607852,0.4951839826839828,0.5828788657271482,vehicle,0.0,autosklearn,0.8511351172,0.7895021645,vehicle,0.0,autosklearn
87,2021-01-01 20:42:27.000,0.4216489724964301,0.46244588744588744,0.5952460578146409,vehicle,0.0,autosklearn,0.8511351172,0.7895021645,vehicle,0.0,autosklearn
88,2021-01-01 20:42:32.040,0.4216489724964301,0.46244588744588744,0.5952460578146409,vehicle,0.0,autosklearn,0.8471668633,0.7770021645,vehicle,0.0,autosklearn
89,2021-01-01 20:42:35.000,0.8033194677262474,0.788365800865801,1.0,vehicle,0.0,autosklearn,0.8471668633,0.7770021645,vehicle,0.0,autosklearn
90,2021-01-01 20:42:38.000,0.8044680366714265,0.7769480519480519,0.8955941720493247,vehicle,0.0,autosklearn,0.8471668633,0.7770021645,vehicle,0.0,autosklearn
91,2021-01-01 20:42:43.066,0.8044680366714265,0.7769480519480519,0.8955941720493247,vehicle,0.0,autosklearn,0.8471668633,0.7770021645,vehicle,0.0,autosklearn
92,2021-01-01 20:42:44.000,0.36518904823989573,0.42500000000000004,0.41927480916030535,vehicle,0.0,autosklearn,0.8471668633,0.7770021645,vehicle,0.0,autosklearn
93,2021-01-01 20:42:47.000,0.8244562405579354,0.8836038961038961,0.9090444711538461,vehicle,0.0,autosklearn,0.8471668633,0.7770021645,vehicle,0.0,autosklearn
94,2021-01-01 20:42:51.598,0.8244562405579354,0.8836038961038961,0.9090444711538461,vehicle,0.0,autosklearn,0.8471668633,0.7770021645,vehicle,0.0,autosklearn
95,2021-01-01 20:42:53.000,0.4318484716789801,0.33717532467532463,0.38676516013407714,vehicle,0.0,autosklearn,0.8471668633,0.7770021645,vehicle,0.0,autosklearn
96,2021-01-01 20:42:57.000,0.7095217400302146,0.7786796536796536,0.7924358362693287,vehicle,0.0,autosklearn,0.8471668633,0.7770021645,vehicle,0.0,autosklearn
97,2021-01-01 20:43:02.271,0.7095217400302146,0.7786796536796536,0.7924358362693287,vehicle,0.0,autosklearn,0.8471668633,0.7770021645,vehicle,0.0,autosklearn
98,2021-01-01 20:43:04.000,0.7522205666273463,0.7786255411255412,0.8075607231111763,vehicle,0.0,autosklearn,0.8471668633,0.7770021645,vehicle,0.0,autosklearn
99,2021-01-01 20:43:09.000,0.3397611804391465,0.3871753246753247,0.4738921205226071,vehicle,0.0,autosklearn,0.8471668633,0.7770021645,vehicle,0.0,autosklearn
100,2021-01-01 20:43:13.514,0.3397611804391465,0.3871753246753247,0.4738921205226071,vehicle,0.0,autosklearn,0.8471668633,0.7770021645,vehicle,0.0,autosklearn
