,single_model,dataset_name,model,level,repeat,iteration,seed,performance,skip
370,False,146822,XGBClassifier,0,1,0,31,0.9842436974789915,False
371,False,146822,XGBClassifier,0,1,1,31,0.9705882352941178,False
372,False,146822,XGBClassifier,0,1,2,31,0.9686312881316911,False
373,False,146822,XGBClassifier,0,1,3,31,0.9687363301484978,False
374,False,146822,XGBClassifier,0,1,4,31,0.9566448268805238,False
375,False,146822,GradientBoostingClassifier,0,1,0,31,0.9772330621746416,False
376,False,146822,GradientBoostingClassifier,0,1,1,31,0.9632624739393475,False
377,False,146822,GradientBoostingClassifier,0,1,2,31,0.9599011294015324,False
378,False,146822,GradientBoostingClassifier,0,1,3,31,0.952863314275482,False
379,False,146822,GradientBoostingClassifier,0,1,4,31,0.9476112134351459,False
380,False,146822,LGBMClassifier,0,1,0,31,0.9789915966386555,False
381,False,146822,LGBMClassifier,0,1,1,31,0.961488430988834,False
382,False,146822,LGBMClassifier,0,1,2,31,0.9598077587199264,False
383,False,146822,LGBMClassifier,0,1,3,31,0.9598077587199264,False
384,False,146822,LGBMClassifier,0,1,4,31,0.9511826420065744,False
385,False,146822,MLPClassifier,0,1,0,31,0.9585084033613445,False
386,False,146822,MLPClassifier,0,1,1,31,0.9467436974789916,False
387,False,146822,MLPClassifier,0,1,2,31,0.932563025210084,False
