,index,fold,model,overfit,task,test,tool,train,val,seed
98,98,3,best_ensemble_model,0.0,vehicle,0.7900432900432901,autosklearnHyperBandFolds_eta2_cv5_repeats1,0.8725508992253621,inf,0
99,99,4,best_ensemble_model,0.0,vehicle,0.8733766233766234,autosklearnHyperBandFolds_eta2_cv5_repeats1,0.8664706922284547,inf,0
100,100,0,best_ensemble_model,0.0,Albert,0.6757595710657511,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.6781197742474916,inf,0
101,101,1,best_ensemble_model,0.0,Albert,0.6751481516320196,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.6784725125418061,inf,0
102,102,2,best_ensemble_model,0.0,Albert,0.6771940551218136,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.6771138168896321,inf,0
103,103,3,best_ensemble_model,0.0,Albert,0.6760417646505503,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.6770484949832776,inf,0
104,104,4,best_ensemble_model,0.0,Albert,0.6790518295550748,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.6769047867892977,inf,0
105,105,0,best_ensemble_model,0.0,Australian,0.9049235993208828,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.8739648033126295,inf,0
106,106,1,best_ensemble_model,0.0,Australian,0.815365025466893,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.878876811594203,inf,0
107,107,2,best_ensemble_model,0.0,Australian,0.8463497453310695,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.9096790890269152,inf,0
108,108,3,best_ensemble_model,0.0,Australian,0.817062818336163,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.9046325051759834,inf,0
109,109,4,best_ensemble_model,0.0,Australian,0.8828522920203735,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.920807453416149,inf,0
110,110,0,best_ensemble_model,0.0,MiniBooNE,0.9369075382725699,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.9416485964909428,inf,0
111,111,1,best_ensemble_model,0.0,MiniBooNE,0.9364044206886356,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.9425349975788946,inf,0
112,112,2,best_ensemble_model,0.0,MiniBooNE,0.937511862044532,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.9410564966145194,inf,0
113,113,3,best_ensemble_model,0.0,MiniBooNE,0.94181481595348,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.9409431682806464,inf,0
114,114,4,best_ensemble_model,0.0,MiniBooNE,0.9413641927954308,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.9420496106981948,inf,0
115,115,0,best_ensemble_model,0.0,adult,0.8479214107537654,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.8453217795930963,inf,0
116,116,1,best_ensemble_model,0.0,adult,0.8364264857951328,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.8452932554987538,inf,0
117,117,2,best_ensemble_model,0.0,adult,0.8473253387793621,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.8422122797825847,inf,0
118,118,3,best_ensemble_model,0.0,adult,0.8410506399575328,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.8455121368275511,inf,0
119,119,4,best_ensemble_model,0.0,adult,0.8403290288570713,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.8467121365620741,inf,0
120,120,0,best_ensemble_model,0.0,cnae-9,0.9537037037037036,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.9745069745069744,inf,0
121,121,1,best_ensemble_model,0.0,cnae-9,0.9259259259259258,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.9742664742664744,inf,0
122,122,2,best_ensemble_model,0.0,cnae-9,0.9629629629629628,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.9793169793169793,inf,0
123,123,3,best_ensemble_model,0.0,cnae-9,0.9074074074074072,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.9846079846079844,inf,0
124,124,4,best_ensemble_model,0.0,cnae-9,0.9444444444444444,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.9745069745069744,inf,0
125,125,0,best_ensemble_model,0.0,connect-4,0.7428718177201376,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.7530508561249927,inf,0
126,126,1,best_ensemble_model,0.0,connect-4,0.7457476001327062,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.7557228622691206,inf,0
127,127,2,best_ensemble_model,0.0,connect-4,0.7582457475125216,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.7617801626910947,inf,0
128,128,3,best_ensemble_model,0.0,connect-4,0.7417584647744139,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.7621552988839723,inf,0
129,129,4,best_ensemble_model,0.0,connect-4,0.7636259218033709,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.7703746167987577,inf,0
130,130,0,best_ensemble_model,0.0,higgs,0.7317941237046356,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.7345608091394081,inf,0
131,131,1,best_ensemble_model,0.0,higgs,0.7185897739333471,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.7374160109707529,inf,0
132,132,2,best_ensemble_model,0.0,higgs,0.7317878205836224,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.7318483847926647,inf,0
133,133,3,best_ensemble_model,0.0,higgs,0.7254890522247073,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.7336964389114071,inf,0
134,134,4,best_ensemble_model,0.0,higgs,0.7294995171529464,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.7315690858834711,inf,0
135,135,0,best_ensemble_model,0.0,kr-vs-kp,0.9967320261437908,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.9981818181818182,inf,0
136,136,1,best_ensemble_model,0.0,kr-vs-kp,0.9880239520958084,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.9970208186190428,inf,0
137,137,2,best_ensemble_model,0.0,kr-vs-kp,0.9967320261437908,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.9963636363636365,inf,0
