,hue,performance,model,dataset_name,level,repeat,seed
142,test_performance_singlemodelTrue,0.9825060464416847,LGBMClassifier,3,5,10,6
143,test_performance_singlemodelTrue,0.98751237484179,MLPClassifier,3,5,10,6
144,test_performance_singlemodelFalse,0.9900061404278249,HistGradientBoostingClassifier,3,0,10,6
145,test_performance_singlemodelFalse,0.993756187420895,RandomForestClassifier,3,0,10,6
146,test_performance_singlemodelFalse,0.99624995300693,DecisionTreeClassifier,3,0,10,6
147,test_performance_singlemodelFalse,0.9349083321846139,LinearDiscriminantAnalysis,3,0,10,6
148,test_performance_singlemodelFalse,0.9900061404278249,XGBClassifier,3,0,10,6
149,test_performance_singlemodelFalse,0.9750435469116154,GradientBoostingClassifier,3,0,10,6
150,test_performance_singlemodelFalse,0.9812497650346496,LGBMClassifier,3,0,10,6
151,test_performance_singlemodelFalse,0.9849998120277197,MLPClassifier,3,0,10,6
152,test_performance_singlemodelFalse,0.9974874371859297,HistGradientBoostingClassifier,3,1,10,6
153,test_performance_singlemodelFalse,0.993756187420895,RandomForestClassifier,3,1,10,6
154,test_performance_singlemodelFalse,0.9937373901928596,DecisionTreeClassifier,3,1,10,6
155,test_performance_singlemodelFalse,0.9912624218348601,LinearDiscriminantAnalysis,3,1,10,6
156,test_performance_singlemodelFalse,0.99624995300693,XGBClassifier,3,1,10,6
157,test_performance_singlemodelFalse,0.9949936715998947,GradientBoostingClassifier,3,1,10,6
158,test_performance_singlemodelFalse,0.9900155390418426,LGBMClassifier,3,1,10,6
159,test_performance_singlemodelFalse,0.9950030702139125,MLPClassifier,3,1,10,6
160,test_performance_singlemodelFalse,0.9987437185929648,HistGradientBoostingClassifier,3,2,10,6
161,test_performance_singlemodelFalse,0.99624995300693,RandomForestClassifier,3,2,10,6
162,test_performance_singlemodelFalse,0.9950030702139125,DecisionTreeClassifier,3,2,10,6
163,test_performance_singlemodelFalse,0.9950030702139125,LinearDiscriminantAnalysis,3,2,10,6
