,tool,model,task,fold_foldmean,overfit_seedmean_foldmean,seed_seedmean_foldmean,test_seedmean_foldmean,train_seedmean_foldmean,val_seedmean_foldmean
117,autosklearnBBCEnsembleSelectionPreSelectInES_es1_B10_N1.0,best_ensemble_model,kr-vs-kp,2.0,0.0,127.0,0.9972885601346327,0.9964980220453272,inf
118,autosklearnBBCEnsembleSelectionPreSelectInES_es1_B10_N1.0,best_ensemble_model,segment,2.0,0.0,127.0,0.9906493506493504,0.9856661856661857,inf
119,autosklearnBBCEnsembleSelectionPreSelectInES_es1_B10_N1.0,best_ensemble_model,vehicle,2.0,0.0,127.0,0.8476233766233768,0.8546833934977052,inf
120,autosklearnBBCEnsembleSelectionPreSelectInES_es1_B50_N0.5,best_ensemble_model,Albert,3.0,0.0,127.0,0.6538660521117486,0.6522896002954323,inf
121,autosklearnBBCEnsembleSelectionPreSelectInES_es1_B50_N0.5,best_ensemble_model,Australian,2.0,0.0,127.0,0.8434634974533107,0.8808115942028986,inf
122,autosklearnBBCEnsembleSelectionPreSelectInES_es1_B50_N0.5,best_ensemble_model,MiniBooNE,2.0,0.0,127.0,0.9278907619228576,0.9293096679398133,inf
123,autosklearnBBCEnsembleSelectionPreSelectInES_es1_B50_N0.5,best_ensemble_model,adult,2.0,0.0,127.0,0.8431682164972655,0.8434336365974469,inf
124,autosklearnBBCEnsembleSelectionPreSelectInES_es1_B50_N0.5,best_ensemble_model,cnae-9,2.0,0.0,127.0,0.937037037037037,0.9572016460905349,inf
125,autosklearnBBCEnsembleSelectionPreSelectInES_es1_B50_N0.5,best_ensemble_model,connect-4,2.0,0.0,127.0,0.6833373509039125,0.6757387064487472,inf
126,autosklearnBBCEnsembleSelectionPreSelectInES_es1_B50_N0.5,best_ensemble_model,higgs,2.0,0.0,127.0,0.7333641050071293,0.7288054676605251,inf
127,autosklearnBBCEnsembleSelectionPreSelectInES_es1_B50_N0.5,best_ensemble_model,kr-vs-kp,2.0,0.0,127.0,0.9974192790888811,0.996477593194518,inf
128,autosklearnBBCEnsembleSelectionPreSelectInES_es1_B50_N0.5,best_ensemble_model,segment,2.0,0.0,127.0,0.9899567099567099,0.9856854256854257,inf
129,autosklearnBBCEnsembleSelectionPreSelectInES_es1_B50_N0.5,best_ensemble_model,vehicle,2.0,0.0,127.0,0.844616883116883,0.8534894477751411,inf
130,autosklearnBBCEnsembleSelection_es1_B100_N1.0,best_ensemble_model,Albert,3.0,0.0,127.0,0.6538660521117486,0.6522896002954323,inf
131,autosklearnBBCEnsembleSelection_es1_B100_N1.0,best_ensemble_model,Australian,2.0,0.0,127.0,0.8456876061120543,0.8815362318840579,inf
132,autosklearnBBCEnsembleSelection_es1_B100_N1.0,best_ensemble_model,MiniBooNE,2.0,0.0,127.0,0.9278907619228576,0.9293096679398133,inf
133,autosklearnBBCEnsembleSelection_es1_B100_N1.0,best_ensemble_model,adult,2.0,0.0,126.0,0.8431682164972655,0.8434336365974469,inf
134,autosklearnBBCEnsembleSelection_es1_B100_N1.0,best_ensemble_model,cnae-9,2.0,0.0,127.0,0.937037037037037,0.9572016460905349,inf
135,autosklearnBBCEnsembleSelection_es1_B100_N1.0,best_ensemble_model,connect-4,2.0,0.0,127.0,0.6833373509039125,0.6757387064487472,inf
136,autosklearnBBCEnsembleSelection_es1_B100_N1.0,best_ensemble_model,higgs,2.0,0.0,127.0,0.7333641050071293,0.7288054676605251,inf
137,autosklearnBBCEnsembleSelection_es1_B100_N1.0,best_ensemble_model,kr-vs-kp,2.0,0.0,127.0,0.9972885601346327,0.9965354878599518,inf
138,autosklearnBBCEnsembleSelection_es1_B100_N1.0,best_ensemble_model,segment,2.0,0.0,127.0,0.9897835497835498,0.9859163059163061,inf
139,autosklearnBBCEnsembleSelection_es1_B100_N1.0,best_ensemble_model,vehicle,2.0,0.0,127.0,0.8482575757575758,0.8549721485495585,inf
