JobID|JobName|MaxRSS|Elapsed|MaxDiskRead|MaxDiskWrite|MaxRSS|MaxVMSize|MinCPU|TotalCPU
4688143|autosklearnBBCScoreEnsemble_B_100_Nb_25_master_thesis_3600s1c8G_Australian_0||01:00:16||||||01:57:44
4688143.batch|batch|2158920K|01:00:16|176.08M|2491.51M|2158920K|7516320K|01:17:34|01:57:44
4688144|autosklearnBBCScoreEnsemble_B_100_Nb_25_master_thesis_3600s1c8G_Australian_1||01:00:24||||||01:57:42
4688144.batch|batch|2828940K|01:00:24|175.89M|2130.14M|2828940K|8227372K|01:14:06|01:57:42
4688145|autosklearnBBCScoreEnsemble_B_100_Nb_25_master_thesis_3600s1c8G_Australian_2||01:00:15||||||01:57:11
4688145.batch|batch|3044556K|01:00:15|195.69M|2877.37M|3044556K|8583296K|01:19:39|01:57:11
4688146|autosklearnBBCScoreEnsemble_B_100_Nb_25_master_thesis_3600s1c8G_Australian_3||01:00:25||||||01:57:34
4688146.batch|batch|2488104K|01:00:25|150.38M|2917.26M|2488104K|7945912K|01:11:07|01:57:34
4688147|autosklearnBBCScoreEnsemble_B_100_Nb_25_master_thesis_3600s1c8G_Australian_4||01:00:24||||||01:58:12
4688147.batch|batch|1571980K|01:00:24|198.81M|2381.18M|1571980K|6809076K|01:16:25|01:58:12
4688148|autosklearnBBCScoreEnsemble_B_100_Nb_25_master_thesis_3600s1c8G_adult_0||01:00:46||||||01:53:01
4688148.batch|batch|3577996K|01:00:46|283.68M|407.71M|3577996K|8656652K|00:57:30|01:53:01
4688149|autosklearnBBCScoreEnsemble_B_100_Nb_25_master_thesis_3600s1c8G_adult_1||01:00:46||||||01:53:15
4688149.batch|batch|3415840K|01:00:46|283.86M|410.26M|3415840K|8494328K|00:57:39|01:53:15
4688150|autosklearnBBCScoreEnsemble_B_100_Nb_25_master_thesis_3600s1c8G_adult_2||01:00:43||||||01:53:25
4688150.batch|batch|3087680K|01:00:43|283.86M|409.65M|3087680K|8129224K|00:58:04|01:53:25
4688151|autosklearnBBCScoreEnsemble_B_100_Nb_25_master_thesis_3600s1c8G_adult_3||01:00:46||||||01:53:15
4688151.batch|batch|3434048K|01:00:46|283.52M|408.46M|3434048K|8513184K|00:57:26|01:53:15
4688152|autosklearnBBCScoreEnsemble_B_100_Nb_25_master_thesis_3600s1c8G_adult_4||01:00:47||||||01:53:17
4688152.batch|batch|3741468K|01:00:47|283.54M|410.44M|3741468K|8820276K|00:57:32|01:53:17
4688153|autosklearnBBCScoreEnsemble_B_100_Nb_25_master_thesis_3600s1c8G_Albert_0||01:01:03||||||01:01:58
4688153.batch|batch|7091124K|01:01:03|7359.26M|518.21M|7091124K|12045392K|00:07:16|01:01:58
4688154|autosklearnBBCScoreEnsemble_B_100_Nb_25_master_thesis_3600s1c8G_Albert_1||01:01:00||||||01:01:57
4688154.batch|batch|7042816K|01:01:00|7359.09M|518.21M|7042816K|11993532K|00:07:14|01:01:57
4688155|autosklearnBBCScoreEnsemble_B_100_Nb_25_master_thesis_3600s1c8G_Albert_2||01:00:59||||||01:01:54
4688155.batch|batch|7081368K|01:00:59|7359.18M|518.21M|7081368K|12040580K|00:07:24|01:01:54
4688156|autosklearnBBCScoreEnsemble_B_100_Nb_25_master_thesis_3600s1c8G_Albert_3||01:01:25||||||01:02:06
4688156.batch|batch|7022776K|01:01:25|7360.49M|522.99M|7022776K|12116492K|00:07:19|01:02:06
4688157|autosklearnBBCScoreEnsemble_B_100_Nb_25_master_thesis_3600s1c8G_Albert_4||01:01:19||||||01:02:01
4688157.batch|batch|7017856K|01:01:19|7360.48M|523.00M|7017856K|11966636K|00:07:08|01:02:01
4688211|autosklearnBBCScoreEnsemble_B_10_Nb_25_master_thesis_3600s1c8G_adult_0||00:00:17||||||00:05.623
4688211.batch|batch|1296K|00:00:17|0|0|1296K|152804K|00:00:00|00:05.623
4688316|autosklearnBBCScoreEnsemble_B_100_Nb_25_master_thesis_3600s1c8G_cnae-9_1||01:00:11||||||01:59:28
4688316.batch|batch|3409516K|01:00:11|1198.23M|2268.08M|3409516K|8429936K|01:05:56|01:59:28
4688317|autosklearnBBCScoreEnsemble_B_100_Nb_25_master_thesis_3600s1c8G_Albert_0||00:14:57||||||06:31.020
4688317.batch|batch|6084200K|00:14:58|3256.31M|518.11M|6084200K|9867008K|00:07:02|06:31.020
4688318|autosklearnBBCScoreEnsemble_B_100_Nb_25_master_thesis_3600s1c8G_Albert_1||00:14:53||||||06:31.021
4688318.batch|batch|6088444K|00:14:54|3256.25M|518.11M|6088444K|9649M|00:07:03|06:31.021
4688319|autosklearnBBCScoreEnsemble_B_100_Nb_25_master_thesis_3600s1c8G_Albert_2||00:14:49||||||06:26.018
4688319.batch|batch|6125128K|00:14:50|3256.26M|518.11M|6125128K|9990812K|00:06:58|06:26.018
4688320|autosklearnBBCScoreEnsemble_B_100_Nb_25_master_thesis_3600s1c8G_Albert_3||00:14:44||||||06:27.018
4688320.batch|batch|6067224K|00:14:45|3256.26M|518.11M|6067224K|9934244K|00:06:58|06:27.018
4688321|autosklearnBBCScoreEnsemble_B_100_Nb_25_master_thesis_3600s1c8G_Albert_4||00:14:40||||||06:28.018
4688321.batch|batch|6068132K|00:14:41|3256.26M|518.11M|6068132K|10561112K|00:06:59|06:28.018
4688339|autosklearnBBCScoreEnsemble_B_100_Nb_25_master_thesis_3600s1c8G_Albert_0||00:04:24||||||01:49.019
4688339.batch|batch|7338680K|00:04:25|2999.89M|518.10M|7338680K|12289452K|00:02:40|01:49.019
4688349|autosklearnBBCScoreEnsemble_B_100_Nb_25_master_thesis_3600s1c8G_Albert_0||00:02:00||||||02:20.018
4688349.batch|batch|8611048K|00:02:01|2700.83M|518.04M|8611048K|13566384K|00:02:21|02:20.018
4697497|autosklearnBBCScoreEnsemble_B_100_Nb_25_master_thesis_3600s1c8G_Albert_0||00:27:28||||||08:34.020
