,tool,model,task,fold,index,overfit,test,train,val,seed
103,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgTrue,best_ensemble_model,Albert,3,103,0.0,0.5654218794092748,0.5670680086539366,inf,1
104,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgTrue,best_ensemble_model,Albert,4,104,0.0,0.5705248800677265,0.5664774924487087,inf,1
105,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgTrue,best_ensemble_model,Australian,0,105,0.0,0.8682795698924731,0.878743961352657,inf,1
106,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgTrue,best_ensemble_model,Australian,1,106,0.0,0.858375778155065,0.8925120772946861,inf,1
107,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgTrue,best_ensemble_model,Australian,2,107,0.0,0.8370118845500848,0.8902173913043478,inf,1
108,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgTrue,best_ensemble_model,Australian,3,108,0.0,0.8463497453310694,0.8875603864734299,inf,1
109,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgTrue,best_ensemble_model,Australian,4,109,0.0,0.8955857385398981,0.8963768115942029,inf,1
110,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgTrue,best_ensemble_model,MiniBooNE,0,110,0.0,0.9377303637596056,0.9405928662056487,inf,1
111,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgTrue,best_ensemble_model,MiniBooNE,1,111,0.0,0.9374982761422479,0.9411341851009284,inf,1
112,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgTrue,best_ensemble_model,MiniBooNE,2,112,0.0,0.9372854400997858,0.9406058255600752,inf,1
113,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgTrue,best_ensemble_model,MiniBooNE,3,113,0.0,0.943158414841427,0.9402424493832108,inf,1
114,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgTrue,best_ensemble_model,MiniBooNE,4,114,0.0,0.941358720823394,0.9399317458024502,inf,1
115,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgTrue,best_ensemble_model,adult,0,115,0.0,0.8501945440197569,0.8456767858779853,inf,1
116,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgTrue,best_ensemble_model,adult,1,116,0.0,0.8380170690450561,0.8474142748055312,inf,1
117,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgTrue,best_ensemble_model,adult,2,117,0.0,0.8508031417884405,0.8465149059570715,inf,1
118,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgTrue,best_ensemble_model,adult,3,118,0.0,0.8466645531356445,0.8465344286314634,inf,1
119,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgTrue,best_ensemble_model,adult,4,119,0.0,0.8378542314857139,0.8468105501889459,inf,1
120,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgTrue,best_ensemble_model,cnae-9,0,120,0.0,0.9598765432098765,0.9574759945130316,inf,1
121,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgTrue,best_ensemble_model,cnae-9,1,121,0.0,0.8981481481481479,0.9602194787379973,inf,1
122,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgTrue,best_ensemble_model,cnae-9,2,122,0.0,0.95679012345679,0.9588477366255144,inf,1
123,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgTrue,best_ensemble_model,cnae-9,3,123,0.0,0.9104938271604937,0.9547325102880658,inf,1
124,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgTrue,best_ensemble_model,cnae-9,4,124,0.0,0.9598765432098765,0.9482167352537724,inf,1
125,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgTrue,best_ensemble_model,connect-4,0,125,0.0,0.7051534613112764,0.7119289620291241,inf,1
126,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgTrue,best_ensemble_model,connect-4,1,126,0.0,0.7167447132087222,0.711698653009877,inf,1
127,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgTrue,best_ensemble_model,connect-4,2,127,0.0,0.7251512492011267,0.7098204929245235,inf,1
128,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgTrue,best_ensemble_model,connect-4,3,128,0.0,0.7095053809231874,0.7088537752474681,inf,1
129,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgTrue,best_ensemble_model,connect-4,4,129,0.0,0.7182305166562992,0.7102058009971408,inf,1
130,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgTrue,best_ensemble_model,higgs,0,130,0.0,0.7397827660649648,0.7324425797966638,inf,1
131,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgTrue,best_ensemble_model,higgs,1,131,0.0,0.7237558842695778,0.7327638162532879,inf,1
132,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgTrue,best_ensemble_model,higgs,2,132,0.0,0.7349555354467907,0.7312566866553428,inf,1
133,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgTrue,best_ensemble_model,higgs,3,133,0.0,0.7356213404344034,0.7313891369927897,inf,1
134,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgTrue,best_ensemble_model,higgs,4,134,0.0,0.7355609306340206,0.7308017267990272,inf,1
135,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgTrue,best_ensemble_model,kr-vs-kp,0,135,0.0,0.994553376906318,0.9976670278218723,inf,1
136,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgTrue,best_ensemble_model,kr-vs-kp,1,136,0.0,0.9850299401197603,0.9969495629634366,inf,1
137,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgTrue,best_ensemble_model,kr-vs-kp,2,137,0.0,0.9967320261437908,0.9968875398869758,inf,1
138,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgTrue,best_ensemble_model,kr-vs-kp,3,138,0.0,1.0,0.9971198033868477,inf,1
139,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgTrue,best_ensemble_model,kr-vs-kp,4,139,0.0,1.0,0.9971818264633084,inf,1
140,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgTrue,best_ensemble_model,segment,0,140,0.0,0.9913419913419913,0.9873336540003209,inf,1
