,hue,repeated_ensemble,performance,model,dataset_name,level,repeat,splits,seed,val_score
11,test_performance_singlemodelFalse,False,0.8926075268817204,LinearDiscriminantAnalysis,146818,1,5,2,78,0.8480024305028102
11,test_performance_singlemodelFalse,False,0.8949394939493949,LinearDiscriminantAnalysis,146818,1,5,2,90,0.8528368794326241
11,test_performance_singlemodelFalse,False,0.9019647153167603,LinearDiscriminantAnalysis,146818,1,5,2,32,0.8425385226855815
11,test_performance_singlemodelFalse,False,0.9629057406138383,LinearDiscriminantAnalysis,146822,1,5,2,17,0.9774383018173533
11,test_performance_singlemodelFalse,False,0.9661320903311675,LinearDiscriminantAnalysis,146822,1,5,2,78,0.9490118363509624
11,test_performance_singlemodelFalse,False,0.9715099585254503,LinearDiscriminantAnalysis,146822,1,5,2,55,0.893975534570983
11,test_performance_singlemodelFalse,False,0.9783064516129032,LinearDiscriminantAnalysis,146822,1,5,2,25,0.9674284224279722
11,test_performance_singlemodelFalse,False,0.9807971014492753,LinearDiscriminantAnalysis,146822,1,5,2,67,0.9607749949828387
11,test_performance_singlemodelFalse,False,0.992353752586369,LinearDiscriminantAnalysis,3,1,5,2,93,0.993662850673743
11,test_performance_singlemodelFalse,False,0.9936797047599919,LinearDiscriminantAnalysis,3,1,5,2,82,0.9953824108852042
11,test_performance_singlemodelFalse,False,0.9937185929648241,LinearDiscriminantAnalysis,3,1,5,2,68,0.9941396590601101
11,test_performance_singlemodelFalse,False,0.9937468671679197,LinearDiscriminantAnalysis,3,1,5,2,24,0.9923139265976846
11,test_performance_singlemodelFalse,False,0.9950213059280612,LinearDiscriminantAnalysis,3,1,5,2,10,0.9936531934803559
12,test_performance_singlemodelFalse,False,0.5734659266111625,GradientBoostingClassifier,10101,1,5,2,80,0.6465617715617715
12,test_performance_singlemodelFalse,False,0.6051643192488263,GradientBoostingClassifier,10101,1,5,2,98,0.632957979059799
12,test_performance_singlemodelFalse,False,0.6483063549160671,GradientBoostingClassifier,10101,1,5,2,49,0.5886400142780653
12,test_performance_singlemodelFalse,False,0.653062678062678,GradientBoostingClassifier,10101,1,5,2,97,0.6191297208538589
12,test_performance_singlemodelFalse,False,0.6635060129509713,GradientBoostingClassifier,10101,1,5,2,5,0.6002331002331003
12,test_performance_singlemodelFalse,False,0.7714285714285714,GradientBoostingClassifier,53,1,5,2,59,0.8091111306226964
12,test_performance_singlemodelFalse,False,0.7916886454317982,GradientBoostingClassifier,53,1,5,2,17,0.78799844611261
12,test_performance_singlemodelFalse,False,0.7934971113597542,GradientBoostingClassifier,7592,1,5,2,31,0.7908991448471567
12,test_performance_singlemodelFalse,False,0.7954090448408639,GradientBoostingClassifier,7592,1,5,2,13,0.7970279639576233
12,test_performance_singlemodelFalse,False,0.7979898397127091,GradientBoostingClassifier,7592,1,5,2,97,0.7948451510488665
12,test_performance_singlemodelFalse,False,0.8016349982230073,GradientBoostingClassifier,7592,1,5,2,1,0.7952634769892792
12,test_performance_singlemodelFalse,False,0.8018859001955997,GradientBoostingClassifier,7592,1,5,2,34,0.7953211167151482
12,test_performance_singlemodelFalse,False,0.8194858900677866,GradientBoostingClassifier,53,1,5,2,12,0.7905300753527366
12,test_performance_singlemodelFalse,False,0.8315369330907127,GradientBoostingClassifier,53,1,5,2,46,0.7727300473019139
12,test_performance_singlemodelFalse,False,0.850281954887218,GradientBoostingClassifier,53,1,5,2,95,0.7850077104499275
12,test_performance_singlemodelFalse,False,0.8665997322623828,GradientBoostingClassifier,146818,1,5,2,8,0.8477038639687957
12,test_performance_singlemodelFalse,False,0.8722033418295101,GradientBoostingClassifier,146818,1,5,2,47,0.8546590294064587
12,test_performance_singlemodelFalse,False,0.9087365591397849,GradientBoostingClassifier,146818,1,5,2,78,0.8458985265076713
12,test_performance_singlemodelFalse,False,0.9167354235423543,GradientBoostingClassifier,146818,1,5,2,90,0.8301418439716313
12,test_performance_singlemodelFalse,False,0.9249532210638867,GradientBoostingClassifier,146818,1,5,2,32,0.8250122294239941
12,test_performance_singlemodelFalse,False,0.9663905762985558,GradientBoostingClassifier,146822,1,5,2,17,0.9751430972558625
12,test_performance_singlemodelFalse,False,0.9745400380020494,GradientBoostingClassifier,146822,1,5,2,78,0.9682996557417832
12,test_performance_singlemodelFalse,False,0.9750189570615736,GradientBoostingClassifier,146822,1,5,2,55,0.9690873776644333
12,test_performance_singlemodelFalse,False,0.9778209109730848,GradientBoostingClassifier,146822,1,5,2,67,0.9630993924704238
12,test_performance_singlemodelFalse,False,0.9813786482334869,GradientBoostingClassifier,146822,1,5,2,25,0.9714673215885864
12,test_performance_singlemodelFalse,False,0.9910025706940875,GradientBoostingClassifier,3,1,5,2,93,0.9915504675649908
12,test_performance_singlemodelFalse,False,0.9924717101718067,GradientBoostingClassifier,3,1,5,2,68,0.9941396590601101
12,test_performance_singlemodelFalse,False,0.9924937343358395,GradientBoostingClassifier,3,1,5,2,24,0.9911328242354799
12,test_performance_singlemodelFalse,False,0.9936797047599919,GradientBoostingClassifier,3,1,5,2,82,0.9925891147958188
