,id,task,framework,constraint,fold,result,metric,mode,version,params,tag,utc,duration,models,seed,info,acc
3,openml.org/t/XX,adult,AutoPyTorch_refactor,3600s8c32G,3,0.8681408681,acc,singularity,refactor_development,debug,stable,2021-03-07T03:35:18,3663.4,0,3264102342,,0.8681408681
30,openml.org/t/XX,bank-marketing,AutoPyTorch_refactor,3600s8c32G,0,0.9042459089,acc,singularity,refactor_development,debug,stable,2021-03-07T03:35:18,3663.4,0,3264102342,,0.9042459089
30,openml.org/t/XX,christine,AutoPyTorch_refactor,3600s8c32G,0,0.741697417,acc,singularity,refactor_development,debug,stable,2021-03-07T03:35:18,3663.4,0,3264102342,,0.741697417
31,openml.org/t/XX,bank-marketing,AutoPyTorch_refactor,3600s8c32G,1,0.900464499,acc,singularity,refactor_development,debug,stable,2021-03-07T03:35:18,3663.4,0,3264102342,,0.900464499
31,openml.org/t/XX,christine,AutoPyTorch_refactor,3600s8c32G,1,0.7306273063,acc,singularity,refactor_development,debug,stable,2021-03-07T03:35:18,3663.4,0,3264102342,,0.7306273063
32,openml.org/t/XX,bank-marketing,AutoPyTorch_refactor,3600s8c32G,2,0.9088697190999999,acc,singularity,refactor_development,debug,stable,2021-03-07T03:35:18,3663.4,0,3264102342,,0.9088697190999999
32,openml.org/t/XX,christine,AutoPyTorch_refactor,3600s8c32G,2,0.741697417,acc,singularity,refactor_development,debug,stable,2021-03-07T03:35:18,3663.4,0,3264102342,,0.741697417
33,openml.org/t/XX,bank-marketing,AutoPyTorch_refactor,3600s8c32G,3,0.9108604291,acc,singularity,refactor_development,debug,stable,2021-03-07T03:35:18,3663.4,0,3264102342,,0.9108604291
33,openml.org/t/XX,christine,AutoPyTorch_refactor,3600s8c32G,3,0.721402214,acc,singularity,refactor_development,debug,stable,2021-03-07T03:35:18,3663.4,0,3264102342,,0.721402214
34,openml.org/t/XX,bank-marketing,AutoPyTorch_refactor,3600s8c32G,4,0.9053306791,acc,singularity,refactor_development,debug,stable,2021-03-07T03:35:18,3663.4,0,3264102342,,0.9053306791
34,openml.org/t/XX,christine,AutoPyTorch_refactor,3600s8c32G,4,0.7177121770999999,acc,singularity,refactor_development,debug,stable,2021-03-07T03:35:18,3663.4,0,3264102342,,0.7177121770999999
35,openml.org/t/168908,christine,AutoPyTorch_refactor,3600s8c32G,5,0.752768,acc,singularity,refactor_development,{'_save_artifacts': ['debug']},stable,2021-03-07T17:20:52,3667.6,0,3034267411,,0.752768
35,openml.org/t/XX,bank-marketing,AutoPyTorch_refactor,3600s8c32G,5,0.9022340190000001,acc,singularity,refactor_development,debug,stable,2021-03-07T03:35:18,3663.4,0,3264102342,,0.9022340190000001
