,task,fold,framework,seed,search_improvement_opt,search_improvement_test,intensify_improvement_opt,intensify_improvement_test
59,adult,1,autosklearnEnsembleIntensification_10incumbents_folds351053_level2_20diversestacks_stackAny_dynamic_TieBreak_MedianRule10_heuristic_fullbeforetrans_repeats_as_individual_modelsFalse,1,0.0007269747770737023,-0.00026197029284502626,0.014609388967642193,0.015220670571701563
60,segment,1,autosklearnEnsembleIntensification_10incumbents_folds351053_level2_20diversestacks_stackAny_dynamic_TieBreak_MedianRule10_heuristic_fullbeforetrans_repeats_as_individual_modelsFalse,1,0.0007597670963414155,0.013892750482637765,0.012506005035547628,0.03476794736846895
61,cnae-9,2,autosklearnEnsembleIntensification_10incumbents_folds351053_level2_20diversestacks_stackAny_dynamic_TieBreak_MedianRule10_heuristic_fullbeforetrans_repeats_as_individual_modelsFalse,1,0.1883607365165723,0.19076180138519572,0.10301910953341281,0.03346969637851944
62,higgs,4,autosklearnEnsembleIntensification_10incumbents_folds351053_level2_20diversestacks_stackAny_dynamic_TieBreak_MedianRule10_heuristic_fullbeforetrans_repeats_as_individual_modelsFalse,1,0.0,0.0,0.08743204463890872,0.09638296337600721
63,adult,3,autosklearnEnsembleIntensification_10incumbents_folds351053_level2_20diversestacks_stackAny_dynamic_TieBreak_MedianRule10_heuristic_fullbeforetrans_repeats_as_individual_modelsFalse,1,6.623857986358395e-05,0.0016576088959996405,0.0025411962473742737,0.0019207250763082597
64,segment,4,autosklearnEnsembleIntensification_10incumbents_folds351053_level2_20diversestacks_stackAny_dynamic_TieBreak_MedianRule10_heuristic_fullbeforetrans_repeats_as_individual_modelsFalse,1,0.015012094836870875,0.01302243539059755,0.019593236951983367,0.01822850183908495
65,segment,2,autosklearnEnsembleIntensification_10incumbents_folds351053_level2_20diversestacks_stackAny_dynamic_TieBreak_MedianRule10_heuristic_fullbeforetrans_repeats_as_individual_modelsFalse,1,-7.134611945981695e-05,0.01928878589250702,0.014897340987669013,0.007075105394545609
66,Albert,1,autosklearnEnsembleIntensification_10incumbents_folds351053_level2_20diversestacks_stackAny_dynamic_TieBreak_MedianRule10_heuristic_fullbeforetrans_repeats_as_individual_modelsFalse,1,0.0008076353583824636,0.0016123172009496756,0.05301707730586491,0.05369733564325119
67,higgs,2,autosklearnEnsembleIntensification_10incumbents_folds351053_level2_20diversestacks_stackAny_dynamic_TieBreak_MedianRule10_heuristic_fullbeforetrans_repeats_as_individual_modelsFalse,1,-0.014230756975992132,-0.017235133045526707,0.02866891385283715,0.04007014783329289
68,Australian,3,autosklearnEnsembleIntensification_10incumbents_folds351053_level2_20diversestacks_stackAny_dynamic_TieBreak_MedianRule10_heuristic_fullbeforetrans_repeats_as_individual_modelsFalse,1,0.011216131064902338,0.006791171477079638,-0.0007241743578338898,-0.004069709377808813
69,higgs,1,autosklearnEnsembleIntensification_10incumbents_folds351053_level2_20diversestacks_stackAny_dynamic_TieBreak_MedianRule10_heuristic_fullbeforetrans_repeats_as_individual_modelsFalse,1,-0.010051020594481874,-0.010900099873161206,0.03583970075568883,0.037706575846385405
70,Australian,0,autosklearnEnsembleIntensification_10incumbents_folds351053_level2_20diversestacks_stackAny_dynamic_TieBreak_MedianRule10_heuristic_fullbeforetrans_repeats_as_individual_modelsFalse,1,0.006836798991808335,0.01018675721561968,-0.0025243442087329996,-0.002723542727787221
71,vehicle,2,autosklearnEnsembleIntensification_10incumbents_folds351053_level2_20diversestacks_stackAny_dynamic_TieBreak_MedianRule10_heuristic_fullbeforetrans_repeats_as_individual_modelsFalse,1,0.09448309429543356,0.14051847998306122,0.22587826231116268,0.26482435026275336
72,kr-vs-kp,0,autosklearnEnsembleIntensification_10incumbents_folds351053_level2_20diversestacks_stackAny_dynamic_TieBreak_MedianRule10_heuristic_fullbeforetrans_repeats_as_individual_modelsFalse,1,7.26324285669675e-06,3.913741145156191e-05,2.6141132584004308e-05,4.783461399634728e-05
73,MiniBooNE,2,autosklearnEnsembleIntensification_10incumbents_folds351053_level2_20diversestacks_stackAny_dynamic_TieBreak_MedianRule10_heuristic_fullbeforetrans_repeats_as_individual_modelsFalse,1,-0.003043865853835353,-0.00419707756701071,0.009372738694260852,0.009795123924301232
74,vehicle,3,autosklearnEnsembleIntensification_10incumbents_folds351053_level2_20diversestacks_stackAny_dynamic_TieBreak_MedianRule10_heuristic_fullbeforetrans_repeats_as_individual_modelsFalse,1,0.13485315063647152,0.06556087329398547,0.13164195554011934,0.1177348169386941
75,Australian,1,autosklearnEnsembleIntensification_10incumbents_folds351053_level2_20diversestacks_stackAny_dynamic_TieBreak_MedianRule10_heuristic_fullbeforetrans_repeats_as_individual_modelsFalse,1,0.00431632010081924,0.029711375212224223,-0.0023952951060701648,0.00351443123938882
76,adult,0,autosklearnEnsembleIntensification_10incumbents_folds351053_level2_20diversestacks_stackAny_dynamic_TieBreak_MedianRule10_heuristic_fullbeforetrans_repeats_as_individual_modelsFalse,1,-0.0004419843451429345,0.0005628447855940966,0.00219236166064592,0.001650217778708084
77,Albert,4,autosklearnEnsembleIntensification_10incumbents_folds351053_level2_20diversestacks_stackAny_dynamic_TieBreak_MedianRule10_heuristic_fullbeforetrans_repeats_as_individual_modelsFalse,1,0.012722928007348533,0.016798550190531003,0.01967279157292816,0.020979542781181887
78,cnae-9,0,autosklearnEnsembleIntensification_10incumbents_folds351053_level2_20diversestacks_stackAny_dynamic_TieBreak_MedianRule10_heuristic_fullbeforetrans_repeats_as_individual_modelsFalse,1,0.22480508028045346,0.19117657942908267,0.07516924797688941,0.011626818223822387
79,kr-vs-kp,4,autosklearnEnsembleIntensification_10incumbents_folds351053_level2_20diversestacks_stackAny_dynamic_TieBreak_MedianRule10_heuristic_fullbeforetrans_repeats_as_individual_modelsFalse,1,4.577175522444684e-05,0.0,0.00033153249952091166,0.0
80,Albert,0,autosklearnEnsembleIntensification_10incumbents_folds351053_level2_20diversestacks_stackAny_dynamic_TieBreak_MedianRule10_heuristic_fullbeforetrans_repeats_as_individual_modelsFalse,1,-0.0006250087770636736,-0.00039067725584385204,0.017196717758998253,0.016545353936523545
81,vehicle,1,autosklearnEnsembleIntensification_10incumbents_folds351053_level2_20diversestacks_stackAny_dynamic_TieBreak_MedianRule10_heuristic_fullbeforetrans_repeats_as_individual_modelsFalse,1,0.1168126929169967,0.07989814857428962,0.2139682526970149,0.13151702226966233
82,MiniBooNE,1,autosklearnEnsembleIntensification_10incumbents_folds351053_level2_20diversestacks_stackAny_dynamic_TieBreak_MedianRule10_heuristic_fullbeforetrans_repeats_as_individual_modelsFalse,1,0.00022576125775453093,3.2500757619069454e-05,0.013968019549688982,0.00929566807844879
83,cnae-9,3,autosklearnEnsembleIntensification_10incumbents_folds351053_level2_20diversestacks_stackAny_dynamic_TieBreak_MedianRule10_heuristic_fullbeforetrans_repeats_as_individual_modelsFalse,1,0.19713691512532633,0.25110006798561635,0.13455790283423355,0.04984149922893312
84,connect-4,1,autosklearnEnsembleIntensification_10incumbents_folds351053_level2_20diversestacks_stackAny_dynamic_TieBreak_MedianRule10_heuristic_fullbeforetrans_repeats_as_individual_modelsFalse,1,-0.06775311600978134,-0.03982526936636044,0.09152551741209886,0.0973555396604512
85,connect-4,0,autosklearnEnsembleIntensification_10incumbents_folds351053_level2_20diversestacks_stackAny_dynamic_TieBreak_MedianRule10_heuristic_fullbeforetrans_repeats_as_individual_modelsFalse,1,-0.021399245561009583,-0.0035581899240499926,0.08956230021554282,0.09882158324307158
