,hue,performance,model,dataset_name,stack
111,val_performance_singlemodelTrue,0.6577182899778181,HistGradientBoostingClassifier,31,11
112,val_performance_singlemodelTrue,0.6582728372655777,HistGradientBoostingClassifier,31,12
113,val_performance_singlemodelTrue,0.6715567654769107,HistGradientBoostingClassifier,31,13
114,val_performance_singlemodelTrue,0.6506100020165356,HistGradientBoostingClassifier,31,14
115,val_performance_singlemodelTrue,0.6582728372655777,HistGradientBoostingClassifier,31,15
116,val_performance_singlemodelTrue,0.6703468441217988,HistGradientBoostingClassifier,31,16
117,val_performance_singlemodelTrue,0.6677253478523896,HistGradientBoostingClassifier,31,17
118,val_performance_singlemodelTrue,0.6696410566646501,HistGradientBoostingClassifier,31,18
119,val_performance_singlemodelTrue,0.6678765880217785,HistGradientBoostingClassifier,31,19
120,val_performance_singlemodelTrue,0.6781357128453318,HistGradientBoostingClassifier,31,20
121,val_performance_singlemodelTrue,0.6614236741278483,HistGradientBoostingClassifier,31,21
122,val_performance_singlemodelTrue,0.6486690865093769,HistGradientBoostingClassifier,31,22
123,val_performance_singlemodelTrue,0.6670447670901392,HistGradientBoostingClassifier,31,23
124,val_performance_singlemodelTrue,0.6729431336963098,HistGradientBoostingClassifier,31,24
125,val_performance_singlemodelTrue,0.6697922968340391,HistGradientBoostingClassifier,31,25
126,val_performance_singlemodelTrue,0.6719600725952813,HistGradientBoostingClassifier,31,26
127,val_performance_singlemodelTrue,0.6622554950594878,HistGradientBoostingClassifier,31,27
128,val_performance_singlemodelTrue,0.6774551320830813,HistGradientBoostingClassifier,31,28
129,val_performance_singlemodelTrue,0.6482657793910063,HistGradientBoostingClassifier,31,29
130,val_performance_singlemodelTrue,0.6586761443839484,HistGradientBoostingClassifier,31,30
131,val_performance_singlemodelTrue,0.6552732405726961,HistGradientBoostingClassifier,31,31
132,val_performance_singlemodelTrue,0.6597600322645695,HistGradientBoostingClassifier,31,32
133,val_performance_singlemodelTrue,0.6582728372655777,HistGradientBoostingClassifier,31,33
134,val_performance_singlemodelTrue,0.6536095987094173,HistGradientBoostingClassifier,31,34
135,val_performance_singlemodelTrue,0.6567856422665861,HistGradientBoostingClassifier,31,35
136,val_performance_singlemodelTrue,0.6971919741883444,HistGradientBoostingClassifier,31,36
137,val_performance_singlemodelTrue,0.6415607985480943,HistGradientBoostingClassifier,31,37
138,val_performance_singlemodelTrue,0.6662129461584997,HistGradientBoostingClassifier,31,38
139,val_performance_singlemodelTrue,0.6692377495462796,HistGradientBoostingClassifier,31,39
140,val_performance_singlemodelTrue,0.6548447267594273,HistGradientBoostingClassifier,31,40
141,val_performance_singlemodelTrue,0.6745815688646905,HistGradientBoostingClassifier,31,41
142,val_performance_singlemodelTrue,0.6466273442226256,HistGradientBoostingClassifier,31,42
143,val_performance_singlemodelTrue,0.6762200040330713,HistGradientBoostingClassifier,31,43
144,val_performance_singlemodelTrue,0.6699183303085299,HistGradientBoostingClassifier,31,44
145,val_performance_singlemodelTrue,0.6747076023391813,HistGradientBoostingClassifier,31,45
146,val_performance_singlemodelTrue,0.6518451300665457,HistGradientBoostingClassifier,31,46
147,val_performance_singlemodelTrue,0.6634906231094979,HistGradientBoostingClassifier,31,47
148,val_performance_singlemodelTrue,0.6600625126033475,HistGradientBoostingClassifier,31,48
149,val_performance_singlemodelTrue,0.6547186932849365,HistGradientBoostingClassifier,31,49
150,train_performance_singlemodelTrue,1.0,RandomForestClassifier,31,0
151,train_performance_singlemodelTrue,1.0,RandomForestClassifier,31,1
152,train_performance_singlemodelTrue,1.0,RandomForestClassifier,31,2
153,train_performance_singlemodelTrue,1.0,RandomForestClassifier,31,3
154,train_performance_singlemodelTrue,1.0,RandomForestClassifier,31,4
155,train_performance_singlemodelTrue,1.0,RandomForestClassifier,31,5
156,train_performance_singlemodelTrue,1.0,RandomForestClassifier,31,6
157,train_performance_singlemodelTrue,1.0,RandomForestClassifier,31,7
158,train_performance_singlemodelTrue,1.0,RandomForestClassifier,31,8
159,train_performance_singlemodelTrue,1.0,RandomForestClassifier,31,9
160,train_performance_singlemodelTrue,1.0,RandomForestClassifier,31,10
161,train_performance_singlemodelTrue,1.0,RandomForestClassifier,31,11
162,train_performance_singlemodelTrue,1.0,RandomForestClassifier,31,12
163,train_performance_singlemodelTrue,1.0,RandomForestClassifier,31,13
164,train_performance_singlemodelTrue,1.0,RandomForestClassifier,31,14
165,train_performance_singlemodelTrue,1.0,RandomForestClassifier,31,15
166,train_performance_singlemodelTrue,1.0,RandomForestClassifier,31,16
167,train_performance_singlemodelTrue,1.0,RandomForestClassifier,31,17
168,train_performance_singlemodelTrue,1.0,RandomForestClassifier,31,18
169,train_performance_singlemodelTrue,1.0,RandomForestClassifier,31,19
170,train_performance_singlemodelTrue,1.0,RandomForestClassifier,31,20
171,train_performance_singlemodelTrue,1.0,RandomForestClassifier,31,21
172,train_performance_singlemodelTrue,1.0,RandomForestClassifier,31,22
173,train_performance_singlemodelTrue,1.0,RandomForestClassifier,31,23
174,train_performance_singlemodelTrue,1.0,RandomForestClassifier,31,24
175,train_performance_singlemodelTrue,1.0,RandomForestClassifier,31,25
176,train_performance_singlemodelTrue,1.0,RandomForestClassifier,31,26
177,train_performance_singlemodelTrue,1.0,RandomForestClassifier,31,27
178,train_performance_singlemodelTrue,1.0,RandomForestClassifier,31,28
179,train_performance_singlemodelTrue,1.0,RandomForestClassifier,31,29
180,train_performance_singlemodelTrue,1.0,RandomForestClassifier,31,30
181,train_performance_singlemodelTrue,1.0,RandomForestClassifier,31,31
182,train_performance_singlemodelTrue,1.0,RandomForestClassifier,31,32
183,train_performance_singlemodelTrue,1.0,RandomForestClassifier,31,33
184,train_performance_singlemodelTrue,1.0,RandomForestClassifier,31,34
185,train_performance_singlemodelTrue,1.0,RandomForestClassifier,31,35
186,train_performance_singlemodelTrue,1.0,RandomForestClassifier,31,36
187,train_performance_singlemodelTrue,1.0,RandomForestClassifier,31,37
188,train_performance_singlemodelTrue,1.0,RandomForestClassifier,31,38
189,train_performance_singlemodelTrue,1.0,RandomForestClassifier,31,39
190,train_performance_singlemodelTrue,1.0,RandomForestClassifier,31,40
191,train_performance_singlemodelTrue,1.0,RandomForestClassifier,31,41
192,train_performance_singlemodelTrue,1.0,RandomForestClassifier,31,42
193,train_performance_singlemodelTrue,1.0,RandomForestClassifier,31,43
194,train_performance_singlemodelTrue,1.0,RandomForestClassifier,31,44
195,train_performance_singlemodelTrue,1.0,RandomForestClassifier,31,45
196,train_performance_singlemodelTrue,1.0,RandomForestClassifier,31,46
197,train_performance_singlemodelTrue,1.0,RandomForestClassifier,31,47
198,train_performance_singlemodelTrue,1.0,RandomForestClassifier,31,48
199,train_performance_singlemodelTrue,1.0,RandomForestClassifier,31,49
200,test_performance_singlemodelTrue,0.6688514357053683,RandomForestClassifier,31,0
201,test_performance_singlemodelTrue,0.6842228464419475,RandomForestClassifier,31,1
202,test_performance_singlemodelTrue,0.6301498127340824,RandomForestClassifier,31,2
203,test_performance_singlemodelTrue,0.6632334581772784,RandomForestClassifier,31,3
204,test_performance_singlemodelTrue,0.6619069912609239,RandomForestClassifier,31,4
205,test_performance_singlemodelTrue,0.6718164794007491,RandomForestClassifier,31,5
206,test_performance_singlemodelTrue,0.6661985018726592,RandomForestClassifier,31,6
207,test_performance_singlemodelTrue,0.6577715355805244,RandomForestClassifier,31,7
208,test_performance_singlemodelTrue,0.6425561797752809,RandomForestClassifier,31,8
209,test_performance_singlemodelTrue,0.6896847690387016,RandomForestClassifier,31,9
210,test_performance_singlemodelTrue,0.6524656679151061,RandomForestClassifier,31,10
211,test_performance_singlemodelTrue,0.6468476903870162,RandomForestClassifier,31,11
212,test_performance_singlemodelTrue,0.6690074906367042,RandomForestClassifier,31,12
213,test_performance_singlemodelTrue,0.6495006242197253,RandomForestClassifier,31,13
214,test_performance_singlemodelTrue,0.6468476903870162,RandomForestClassifier,31,14
215,test_performance_singlemodelTrue,0.6633895131086143,RandomForestClassifier,31,15
216,test_performance_singlemodelTrue,0.66354556803995,RandomForestClassifier,31,16
217,test_performance_singlemodelTrue,0.6759519350811486,RandomForestClassifier,31,17
218,test_performance_singlemodelTrue,0.6577715355805244,RandomForestClassifier,31,18
219,test_performance_singlemodelTrue,0.6577715355805244,RandomForestClassifier,31,19
220,test_performance_singlemodelTrue,0.6425561797752809,RandomForestClassifier,31,20
